UNH,00036d2f-394f-439c-95b4-a3822c1ff740,128.06,83,2023-12-18,08:45:33,buy
UNH,0140c19d-28d0-48c5-b2ee-f7f048772742,157.67,6,2023-12-18,08:47:41,buy
UNH,01d7b9cd-257a-4522-b75c-b4c990a7b992,104.3,11,2023-12-18,08:56:08,sell
UNH,045007f6-4e40-4a06-8aff-ad21853f8890,169.62,69,2023-12-18,08:49:37,sell
UNH,0954cdc2-e604-4127-8697-07a8a81d1ea0,131.47,34,2023-12-18,08:53:06,sell
UNH,0aaeb259-2d34-41f2-8bfe-2e2a4da2f0cd,106.2,86,2023-12-18,08:51:53,buy
UNH,12402035-79f5-405c-ae87-310a20a70a5d,141.41,12,2023-12-18,08:56:57,buy
UNH,1283bbde-b5f9-4bb7-84ac-31e58f74ca79,131.32,31,2023-12-18,08:51:26,sell
UNH,13932acd-de8a-49cd-834f-351be6936a0d,194.08,18,2023-12-18,08:40:11,sell
UNH,13c4aaba-83a6-4738-9e19-41fb4c46b795,158.54,69,2023-12-18,08:59:47,buy
UNH,1481949f-1774-4d9b-b0aa-227eef4173a0,149.75,74,2023-12-18,08:41:59,buy
UNH,14a7f3d7-e135-4133-aa20-de7d322bb336,132.08,31,2023-12-18,08:54:41,sell
UNH,15e5edb2-7ee9-4807-967f-c1f6b0a0b6f6,103.66,27,2023-12-18,08:43:22,sell
UNH,178df537-7f14-4202-8833-9144fe6fd5e2,143.51,54,2023-12-18,08:45:09,buy
UNH,18c957fd-7560-4d01-8a8c-2ecb4d5838a2,164.45,8,2023-12-18,09:03:29,buy
UNH,18e4fd65-86b8-4fff-924e-d1249bc325e4,188.78,1,2023-12-18,08:43:56,sell
UNH,1a6a562d-8e59-46de-920c-53d5f84d68ef,190.33,60,2023-12-18,09:01:39,buy
UNH,1b6ecfdb-6871-438f-a186-6d235ec5300c,161.37,94,2023-12-18,08:56:55,buy
UNH,1fdfa13e-e49d-49f3-9d62-ca82eb6cd7b1,149.66,3,2023-12-18,09:02:03,buy
UNH,2171b6b1-9fd0-4141-9c1e-26fdd29708e7,145.21,72,2023-12-18,08:44:40,sell
